<Offset into main = 5537>
<Offset to target instruction = 111098>
<Difference = 111098 - 5537 = 105561>
<Return out of main; trigger lower = 111230>

0 34 0x00000000 0xf14020f3 M csrrs         x1, mhartid, x0
386 1809 0x00000d20 0x00000013 M addi          x0, x0, 0
387 1811 0x00000d24 0x000017b7 M lui           x15, 0x00001000
388 1813 0x00000d28 0xdec78793 M addi          x15, x12, -532
389 1815 0x00000d2c 0xffc7f793 M andi          x15, x28, -4
390 1821 0x00000d30 0xfcf42e23 M sw            x8, -36(x15)
391 1826 0x00000d34 0xfdc42783 M lw            x15, -49(x8)
392 1844 0x00000d38 0xfcf42c23 M sw            x8, -40(x15)
393 1849 0x00000d3c 0xfd842783 M lw            x15, -49(x8)
394 1852 0x00000d40 0x30579073 M csrrw         x0, mtvec, x15
395 1854 0x00000d44 0x00000013 M addi          x0, x0, 0
396 1860 0x00000d48 0xfe042223 M sw            x8, -28(x0)
397 1879 0x00000d4c 0xfe442783 M lw            x15, -17(x8)
398 1885 0x00000d50 0xfef42023 M sw            x8, -32(x15)
399 1890 0x00000d54 0xfe042783 M lw            x15, -17(x8)
400 1893 0x00000d58 0x30479073 M csrrw         x0, mie, x15
401 1895 0x00000d5c 0x00000013 M addi          x0, x0, 0
402 1910 0x00000d60 0xf14027f3 M csrrs         x15, mhartid, x0
403 1916 0x00000d64 0xfef42423 M sw            x8, -24(x15)
404 1921 0x00000d68 0xfe842783 M lw            x15, -17(x8)
405 1924 0x00000d6c 0x06079463 M bne           x0, x15, 104
406 1930 0x00000d70 0xfe042623 M sw            x8, -20(x0)
407 1934 0x00000d74 0x0540006f M jal           x0, 84
408 1955 0x00000dc8 0xfec42703 M lw            x14, -18(x8)
409 1957 0x00000dcc 0x01f00793 M addi          x15, x31, 31
410 1961 0x00000dd0 0xfae7d4e3 M bge           x14, x15, -87
411 1965 0x00000d78 0x000017b7 M lui           x15, 0x00001000
412 1967 0x00000d7c 0xf6078713 M addi          x14, x0, -160
413 1983 0x00000d80 0x800007b7 M lui           x15, 0x80000000
414 1985 0x00000d84 0x02478693 M addi          x13, x4, 36
415 1990 0x00000d88 0xfec42783 M lw            x15, -17(x8)
416 1993 0x00000d8c 0x00279793 M slli          x15, x2, 2
417 1995 0x00000d90 0x00f687b3 M add           x15, x15, x13
418 2001 0x00000d94 0x00e7a023 M sw            x15, 0(x14)
419 2003 0x00000d98 0x000017b7 M lui           x15, 0x00001000
420 2005 0x00000d9c 0xf6078713 M addi          x14, x0, -160
421 2020 0x00000da0 0x800007b7 M lui           x15, 0x80000000
422 2022 0x00000da4 0x02478693 M addi          x13, x4, 36
423 2027 0x00000da8 0xfec42783 M lw            x15, -17(x8)
424 2029 0x00000dac 0x02078793 M addi          x15, x0, 32
425 2032 0x00000db0 0x00279793 M slli          x15, x2, 2
426 2034 0x00000db4 0x00f687b3 M add           x15, x15, x13
427 2040 0x00000db8 0x00e7a023 M sw            x15, 0(x14)
428 2045 0x00000dbc 0xfec42783 M lw            x15, -17(x8)
429 2047 0x00000dc0 0x00178793 M addi          x15, x1, 1
430 2053 0x00000dc4 0xfef42623 M sw            x8, -20(x15)
431 2058 0x00000dc8 0xfec42703 M lw            x14, -18(x8)
432 2060 0x00000dcc 0x01f00793 M addi          x15, x31, 31
433 2064 0x00000dd0 0xfae7d4e3 M bge           x14, x15, -87
434 2068 0x00000d78 0x000017b7 M lui           x15, 0x00001000
435 2070 0x00000d7c 0xf6078713 M addi          x14, x0, -160
436 2072 0x00000d80 0x800007b7 M lui           x15, 0x80000000
437 2074 0x00000d84 0x02478693 M addi          x13, x4, 36
438 2079 0x00000d88 0xfec42783 M lw            x15, -17(x8)
439 2082 0x00000d8c 0x00279793 M slli          x15, x2, 2
440 2084 0x00000d90 0x00f687b3 M add           x15, x15, x13
441 2090 0x00000d94 0x00e7a023 M sw            x15, 0(x14)
442 2092 0x00000d98 0x000017b7 M lui           x15, 0x00001000
443 2094 0x00000d9c 0xf6078713 M addi          x14, x0, -160
